height of setup:,84.57
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
1,1014,1660,1687,2272
2,971,1596,1698,2331
3,993,1729,1902,2432
4,1128,1957,2124,2481
5,1241,2128,2280,2579
6,1295,2220,2388,2667
7,1304,2349,2804,3751
8,1379,3513,4246,4556
9,1617,4699,4442,6077
10,1628,5398,4602,7702
11,1537,5827,5192,9290
12,1924,7004,7572,10718
13,3713,9130,9052,10374
14,5191,10506,9291,9504
15,6084,11117,9074,8759
16,6519,12046,9063,8893
17,7210,13667,10392,10625
18,8611,15439,12832,11844
20,10565,16812,13746,12127
21,12014,16847,13740,11749
22,12625,16414,13266,11437
23,12512,15652,12858,11517
24,11733,14788,12533,11158
25,11287,14360,11735,10149
26,10849,14109,10770,9246
27,10257,13526,9890,8568
28,9731,12508,8900,7742
29,9043,11520,8205,7765
30,8416,10800,8242,8298
31,8006,10262,8432,8595
32,7915,9849,8428,8638
33,7052,9102,8148,8699
34,6143,8129,7407,8147
35,5342,7141,6488,7317
36,4664,6420,6048,6915
37,4776,6490,7104,8208
38,4863,6962,8391,10271
39,4637,6910,8363,10575
40,5426,7150,8213,10190
41,5364,7237,8140,10446
43,4957,6973,7911,10747
44,5596,7993,8526,10423
45,5462,7702,8008,9407
46,5388,7494,8146,8848
47,5465,7945,8522,8148
48,5629,7843,7743,7186
49,5176,7094,6745,6467
50,4595,6359,5893,5675
51,4137,5678,5048,4963
52,3634,4958,4347,4413
53,3306,4296,3730,3894
54,2964,3752,3258,3497
55,2820,3646,3106,3401
56,2702,3463,2902,3189
57,2522,3120,2633,2947
58,2742,3150,2414,2768
59,2844,3580,2690,2600
60,3312,5199,4580,2527
61,3825,7329,7074,2809
62,5117,8558,9329,5531
63,5921,10243,10295,8293
64,6363,11959,10652,9642
65,6249,12570,11314,10073
67,5931,12109,11541,10705
68,5840,11711,11109,10715
69,5738,11349,10817,10461
70,5301,10587,10213,10066
71,4825,9747,9525,9658
72,4229,9068,9096,9547
73,3763,8296,9016,9955
74,3728,7907,8537,9891
75,4248,8435,8945,9878
76,4474,9181,9907,10374
77,4397,9882,10765,10492
78,4791,10382,10514,9932
79,5248,10137,9928,9337
80,5363,9658,9164,8590
81,5057,8766,8074,7669
82,4606,7965,7149,6826
83,4309,7290,6445,6077
84,5143,7081,5770,5467
85,5749,6733,5198,5045
86,5463,6171,4809,4733
87,5041,5674,4492,4443
88,5036,5164,4205,4212
90,5085,4769,3982,4062
91,5058,4549,3976,3989
92,5145,4839,4073,3949
93,5376,4983,4087,3785
94,5154,4871,3916,3519
95,4717,4554,3598,3206
96,4197,4134,3215,2880
97,3662,3663,2842,2596
98,3181,3255,2551,2380
99,2787,2928,2333,2216
100,2478,2686,2186,2105
101,2248,2515,2088,2035
102,2062,2358,1992,1970
103,1894,2213,1900,1893
104,1760,2112,1821,1817
105,1660,2049,1757,1782
106,1587,1998,1713,1757
107,1706,2052,1763,1772
108,2646,3360,2681,2160
