height of setup:,125
time,value of sensor0,value of sensor1,value of sensor2
0,512,889,889
1,509,888,890
2,503,891,893
3,499,895,896
4,496,899,899
5,492,902,902
6,489,906,905
8,487,909,911
9,485,911,920
10,485,913,929
11,485,914,938
12,485,915,943
13,487,917,946
14,488,917,951
15,490,917,955
16,497,915,959
17,521,916,960
18,583,916,965
19,708,916,967
20,900,918,971
21,1171,925,974
22,1617,933,975
23,2148,944,975
24,2728,959,975
25,3270,976,973
26,3979,996,969
27,4781,1022,965
28,5440,1066,963
29,5943,1143,959
30,6222,1217,955
32,6305,1291,954
33,6425,1348,954
34,6523,1411,956
35,6530,1484,961
36,6505,1542,966
37,6446,1585,970
38,6300,1636,972
39,6197,1692,970
40,6346,1721,969
41,6791,1737,965
42,7358,1740,958
43,7908,1731,951
44,8359,1720,943
45,8662,1709,937
46,8912,1696,932
47,9281,1675,927
48,9814,1651,923
49,10371,1623,918
50,10744,1590,913
51,10893,1565,911
52,10833,1589,909
53,10595,1662,912
55,10293,1747,915
56,9905,1803,916
57,9370,1814,920
58,8714,1794,924
59,7983,1779,926
60,7267,1775,929
61,6548,1770,932
62,5874,1770,934
63,5248,1773,937
64,4691,1772,940
65,4249,1759,943
66,3947,1732,947
67,3733,1704,951
68,3647,1677,956
69,3679,1652,960
70,3757,1631,965
71,3807,1612,969
72,3789,1598,972
73,3717,1580,973
74,3761,1556,974
75,4045,1528,975
76,4397,1500,975
77,4562,1471,976
79,4489,1443,977
80,4256,1415,977
81,3940,1391,980
82,3599,1368,992
83,3262,1349,1017
84,2947,1330,1054
85,2668,1316,1096
86,2426,1302,1132
87,2219,1289,1156
88,2042,1279,1172
89,1893,1268,1175
90,1769,1258,1174
91,1665,1247,1168
92,1574,1238,1157
93,1496,1227,1145
94,1428,1216,1137
95,1369,1206,1131
96,1317,1198,1126
97,1273,1189,1121
98,1237,1182,1117
99,1206,1173,1114
100,1183,1167,1105
102,1160,1160,1091
103,1139,1152,1077
104,1124,1143,1064
105,1130,1132,1054
106,1166,1123,1044
107,1218,1115,1038
108,1263,1107,1031
109,1288,1099,1026
110,1283,1091,1019
111,1256,1085,1014
112,1214,1080,1012
113,1178,1077,1009
114,1151,1074,1008
115,1129,1073,1005
116,1111,1070,1001
117,1091,1066,999
118,1071,1065,997
119,1044,1061,996
120,1017,1058,995
121,1000,1056,994
122,993,1053,992
123,1004,1050,990
124,1022,1048,988
126,1031,1044,986
127,1026,1043,983
128,1009,1042,980
129,983,1040,977
130,957,1038,975
131,932,1036,971
132,911,1034,969
133,901,1031,967
134,901,1030,966
135,902,1030,966
136,891,1030,966
137,873,1031,965
138,852,1030,963
139,833,1028,962
140,813,1026,961
141,797,1023,962
142,779,1020,959
143,766,1016,962
144,752,1013,962
145,739,1009,962
146,728,1004,963
147,724,1000,962
149,728,996,961
