height of setup:,72.5
time,value of sensor0,value of sensor1,value of sensor2
3,644,819,779
4,644,817,777
5,642,815,775
6,640,813,773
7,636,812,771
8,630,814,770
9,625,815,770
10,619,819,770
11,615,823,770
12,612,830,770
13,608,837,770
14,606,843,770
15,603,848,771
16,600,851,771
17,600,856,771
18,672,872,772
19,1252,917,772
20,2979,978,774
21,6202,1035,773
22,10568,1080,774
23,14842,1117,774
24,17937,1163,776
26,19831,1236,777
27,20933,1354,777
28,21579,1604,779
29,21975,2072,780
30,22192,2591,783
31,22313,3012,785
32,22398,3324,787
33,22467,3526,788
34,22540,3665,789
35,22596,3745,789
36,22617,3791,789
37,22598,3825,788
38,22539,3963,789
39,22398,4178,792
40,22179,4364,799
41,21944,4491,809
42,21750,4613,821
43,21541,4696,837
44,21240,4753,859
45,20832,4823,887
46,20341,4931,920
47,19784,5119,965
49,19202,5288,1021
50,18647,5390,1080
51,18140,5462,1150
52,17690,5493,1215
53,17319,5501,1271
54,16990,5503,1324
55,16627,5499,1389
56,16187,5487,1465
57,15652,5458,1538
58,15039,5414,1598
59,14376,5380,1656
60,13683,5351,1713
61,12973,5316,1758
62,12259,5281,1789
63,11542,5238,1797
64,10848,5154,1776
65,10169,5043,1732
66,9496,4940,1683
67,8826,4841,1646
68,8179,4750,1627
69,7573,4647,1618
70,7018,4555,1619
72,6514,4472,1626
73,6065,4384,1639
74,5665,4282,1653
75,5297,4166,1664
76,4959,4036,1669
77,4657,3897,1665
78,4404,3743,1649
79,4217,3580,1622
80,4085,3413,1593
81,3987,3253,1567
82,3887,3107,1535
83,3785,2976,1499
84,3668,2873,1465
85,3532,2790,1442
86,3380,2731,1427
87,3224,2681,1418
88,3072,2639,1413
89,2928,2603,1405
90,2794,2578,1393
91,2672,2569,1385
92,2559,2569,1382
93,2467,2568,1381
94,2387,2560,1383
96,2310,2545,1388
97,2226,2525,1404
98,2138,2504,1438
99,2052,2478,1487
100,1970,2449,1542
101,1896,2417,1592
102,1830,2384,1623
103,1769,2346,1635
104,1716,2304,1632
105,1667,2259,1613
106,1625,2206,1587
107,1591,2149,1552
108,1569,2089,1513
109,1557,2030,1471
110,1546,1976,1429
111,1533,1929,1388
112,1527,1885,1350
113,1573,1841,1319
114,1734,1793,1288
115,1948,1735,1257
116,2129,1674,1228
117,2252,1607,1205
119,2323,1544,1184
