start next to table end on table (leave puddle)
height of setup:,57.77
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
77,3946,12579,7109,3943
78,18046,12649,7070,3906
79,17715,12804,7251,4023
80,17314,12797,7404,4155
82,16738,12590,7401,4155
83,16020,12329,7345,4097
84,15255,11965,7169,4037
85,14671,11547,6942,3960
86,14541,11059,6705,3845
87,14744,10533,6452,3688
88,15055,10036,6150,3509
89,15414,9607,5839,3341
90,15815,9272,5527,3188
91,16199,9013,5216,3035
92,16551,8846,4964,2914
93,16846,8793,4733,2805
94,17057,8848,4539,2711
95,17170,8945,4385,2629
96,17179,9035,4262,2561
97,17170,9124,4169,2502
98,17162,9145,4087,2443
99,17060,9049,3996,2376
100,17020,8979,3942,2331
101,16925,8890,3897,2293
102,16869,8820,3867,2282
104,16799,8724,3840,2281
105,16786,8631,3808,2285
106,17089,8628,3772,2272
107,17296,8632,3732,2246
108,17717,8752,3698,2216
109,18019,8945,3670,2178
110,18279,9241,3651,2137
111,18488,9661,3647,2096
112,18635,10235,3664,2056
113,18716,10976,3703,2022
114,18713,11787,3770,1993
115,18630,12526,3874,1972
116,18490,13122,4024,1956
117,18334,13536,4201,1953
118,18184,13791,4400,1991
119,18072,13948,4604,2086
120,17990,14036,4783,2211
121,17928,14129,4940,2357
122,17861,14260,5094,2502
123,17784,14420,5251,2611
124,17700,14560,5411,2672
125,17614,14657,5559,2691
127,17537,14689,5659,2663
128,17426,14679,5777,2637
129,17349,14609,5856,2590
130,17266,14508,5932,2542
131,17171,14318,5983,2490
132,17190,14096,6032,2448
133,17230,13806,6040,2410
134,17286,13516,6016,2386
135,17320,13255,5961,2377
136,17331,13017,5879,2376
137,17328,12778,5778,2408
138,17334,12491,5652,2506
139,17361,12268,5592,2693
140,17399,12039,5548,2939
141,17470,11864,5523,3203
142,17550,11716,5506,3452
143,17613,11602,5491,3658
144,17657,11534,5464,3787
145,17680,11539,5413,3816
146,17650,11605,5338,3784
147,17697,11840,5313,3785
148,17685,12077,5285,3821
150,17642,12235,5233,3827
151,17590,12387,5239,3829
152,17516,12421,5230,3759
153,17467,12415,5255,3651
154,17414,12344,5288,3518
155,17390,12262,5321,3372
156,17391,12169,5334,3227
157,17408,12105,5327,3088
158,17454,12106,5317,2963
159,17504,12145,5310,2855
160,17584,12196,5313,2762
161,17663,12214,5309,2686
162,17724,12191,5282,2631
163,17755,12161,5237,2594
164,17767,12144,5188,2570
165,17759,12176,5145,2562
166,17737,12308,5110,2608
167,17714,12480,5100,2686
168,17549,12599,5131,2737
169,17556,12955,5346,2777
170,17413,13349,5692,2801
171,17509,13759,6249,2870
173,17487,13996,6755,2917
174,17456,14123,7162,2981
175,17437,14181,7521,3047
176,17466,14240,7948,3125
177,17400,14208,8383,3276
178,17324,14097,8758,3564
179,17257,13886,9069,3835
180,16980,13599,9164,3980
181,16842,13330,9169,4079
182,16517,12930,8908,4063
183,16366,12588,8601,4042
184,16391,12254,8230,4010
185,16525,11942,7832,3991
186,16691,11732,7449,3996
187,16807,11635,7117,4008
188,16937,11715,6781,3965
189,16931,11770,6469,3871
190,16804,11777,6181,3759
191,16912,12025,5979,3722
192,16927,12225,5816,3683
193,16946,12448,5722,3656
194,16940,12724,5749,3650
195,16868,13115,5917,3621
197,16903,13416,6090,3598
198,16803,13658,6281,3521
199,16878,14013,6491,3480
200,16808,14245,6643,3404
201,16790,14523,6810,3341
202,16573,14568,6847,3224
203,16501,14778,7026,3188
204,16271,14839,7144,3130
205,16165,14749,7217,3077
206,16105,14733,7375,3116
207,15986,14655,7465,3293
208,16199,14649,7735,3618
209,16197,14433,7945,3908
210,16415,14321,8164,4211
211,16628,14178,8310,4435
212,16860,14033,8424,4604
213,16988,13813,8448,4673
214,17071,13591,8426,4684
215,17101,13369,8369,4665
216,17069,13166,8268,4637
217,16986,13006,8116,4607
218,16866,12853,7910,4566
219,16729,12702,7672,4512
221,16559,12539,7403,4442
222,16386,12373,7128,4352
223,16217,12236,6864,4251
224,16071,12180,6624,4139
225,15974,12284,6426,4019
226,15911,12529,6293,3898
227,15858,12821,6229,3776
228,15815,13072,6209,3665
229,15783,13228,6186,3574
230,15780,13287,6164,3575
231,15821,13281,6176,3683
232,15889,13250,6198,3837
233,15967,13205,6208,3983
234,16036,13144,6219,4117
235,16076,13087,6239,4237
236,16094,13066,6273,4351
237,16037,13013,6288,4435
238,15926,12951,6282,4457
239,15762,12869,6238,4432
240,15582,12803,6167,4372
241,15385,12750,6089,4286
242,15187,12710,6024,4181
244,15019,12647,5970,4069
245,14935,12535,5904,3956
246,14925,12352,5855,3853
247,14971,12107,5781,3759
248,15045,11834,5706,3679
