height of setup:,74.5
time,value of sensor0,value of sensor1,value of sensor2
1,559,902,766
2,560,888,763
3,559,878,761
4,558,867,758
5,557,858,756
6,555,848,755
7,554,841,754
8,553,834,752
10,551,829,752
11,550,823,751
12,549,818,751
13,548,812,751
14,551,808,751
15,656,803,751
16,1206,799,750
17,2057,796,750
18,2951,798,749
19,3900,809,748
20,5232,847,749
21,7412,957,748
22,10371,1168,747
23,13488,1446,747
24,15955,1738,746
25,17632,2034,745
26,18797,2393,745
27,19669,2848,745
28,20254,3337,746
29,20575,3769,748
30,20837,4201,753
31,21063,4499,763
32,21273,4719,778
34,21518,5007,815
35,21421,5131,859
36,21165,4981,889
37,20903,4734,930
38,20739,4463,981
39,20710,4243,1041
40,20756,4082,1120
41,20772,3982,1208
42,20703,3928,1286
43,20574,3906,1380
44,20453,3916,1502
45,20354,3943,1627
46,20259,3987,1736
47,20129,4054,1830
48,19938,4150,1909
49,19662,4256,1982
50,19299,4327,2044
51,18863,4376,2078
52,18399,4337,2037
53,17953,4271,1970
54,17546,4210,1908
55,17205,4159,1868
57,16845,4092,1827
58,16405,4054,1792
59,15850,4140,1817
60,15199,4248,1875
61,14526,4282,1918
62,13821,4286,1959
63,13090,4262,1986
64,12353,4211,1995
65,11628,4162,2000
66,10934,4131,2013
67,10304,4113,2032
68,9788,4102,2054
69,9376,4081,2081
70,8999,4036,2108
71,8586,3975,2130
72,8115,3901,2141
73,7609,3807,2144
74,7099,3693,2153
75,6607,3570,2172
76,6151,3437,2181
77,5737,3308,2164
78,5358,3184,2126
79,5007,3043,2072
80,4689,2888,2014
82,4401,2756,1964
83,4155,2637,1918
84,3946,2526,1878
85,3769,2438,1841
86,3619,2373,1803
87,3497,2329,1770
88,3383,2295,1741
89,3271,2260,1715
90,3157,2226,1690
91,3046,2197,1667
92,2942,2169,1647
93,2844,2140,1629
94,2743,2109,1610
95,2647,2074,1593
96,2553,2033,1573
97,2465,1988,1552
98,2385,1951,1533
99,2307,1924,1514
100,2228,1909,1487
101,2155,1905,1455
102,2090,1907,1420
103,2034,1913,1384
104,1983,1918,1353
105,1935,1919,1328
107,1890,1913,1302
108,1849,1898,1277
109,1807,1880,1255
110,1766,1861,1235
111,1727,1845,1218
112,1687,1831,1206
113,1646,1818,1192
114,1606,1806,1178
115,1570,1794,1167
116,1537,1777,1157
117,1504,1757,1146
118,1470,1739,1136
119,1438,1720,1127
120,1410,1697,1121
121,1385,1673,1114
122,1364,1648,1108
123,1343,1623,1104
124,1323,1596,1098
125,1316,1570,1092
126,1319,1546,1086
127,1324,1529,1081
128,1319,1518,1078
129,1309,1512,1076
130,1295,1509,1074
132,1283,1502,1071
133,1273,1488,1068
134,1264,1467,1063
135,1255,1443,1057
136,1245,1425,1051
137,1232,1409,1045
138,1216,1399,1042
139,1199,1394,1041
140,1183,1394,1042
141,1169,1402,1044
142,1157,1423,1047
143,1149,1451,1049
144,1138,1480,1049
145,1127,1495,1048
146,1116,1499,1047
147,1105,1499,1044
148,1094,1500,1043
149,1085,1502,1042
150,1074,1503,1042
151,1063,1502,1041
152,1052,1497,1040
153,1042,1487,1037
154,1031,1472,1032
155,1021,1451,1026
157,1013,1427,1018
158,1007,1403,1009
159,1002,1381,1000
160,995,1362,992
161,987,1345,984
162,977,1329,976
163,967,1312,970
164,954,1298,963
165,941,1286,959
166,931,1273,955
167,928,1261,954
168,928,1247,952
169,928,1233,949
170,927,1218,946
171,926,1209,940
172,924,1201,934
173,924,1192,927
174,923,1187,920
175,919,1181,914
176,915,1177,909
177,908,1173,906
178,897,1169,904
180,882,1165,904
181,867,1158,905
182,853,1152,905
183,841,1143,905
184,831,1135,904
185,822,1129,904
186,812,1125,904
187,805,1119,906
188,799,1111,908
189,793,1104,910
190,788,1100,912
191,786,1102,913
192,787,1104,911
193,789,1105,909
194,794,1104,905
195,799,1103,901
196,806,1098,901
197,811,1093,902
198,814,1087,907
199,816,1080,912
200,818,1073,916
201,818,1067,918
202,816,1061,918
204,813,1054,916
205,808,1050,917
206,805,1048,919
207,803,1048,926
208,811,1049,935
209,828,1051,944
210,848,1051,955
211,867,1048,965
212,879,1043,973
213,882,1038,976
214,878,1034,977
215,870,1030,975
216,861,1025,974
217,851,1018,969
218,842,1009,963
219,835,1001,955
220,830,992,947
