Value of A0,Value of A1,Value of A2,Value of A3
8122,11339,27724,29460
5260,20413,7228,21802
8471,29744,25266,29404
3179,8635,11553,28107
21019,12419,6223,11508
16663,4161,24440,1972
4500,30610,7171,13664
17472,27135,12968,31480
30463,24351,5204,12766
13222,21582,8978,1582
17169,7987,21218,1300
24064,9118,3448,21685
22811,28777,27583,1230
18902,27862,14357,25287
30821,20412,5830,3654
1687,19706,17270,30412
15472,7293,21267,20129
25878,27058,17396,16400
9122,11720,14125,1850
4591,31270,10625,5803
30052,9542,26137,5427
26370,20375,7041,571
3814,18171,18648,31768
31819,3161,10041,17708
13673,17874,22322,23686
7570,10757,9547,6845
28068,22300,31462,28213
20023,30644,13767,23360
23886,31336,7239,1454
14546,14833,15064,18671
20448,32354,26000,29619
9316,8314,7811,23439
8057,1668,28155,557
9321,4314,27564,19843
3916,18489,10965,3939
8551,98,16173,13612
24255,4289,14874,8209
32265,14507,25623,23137
27057,1856,13431,13950
579,23312,12711,6544
510,3723,19323,6854
17690,28361,19016,24015
18122,16420,27559,24934
15358,16437,18910,19615
15018,8812,1836,5829
5546,1722,1311,10698
9502,14995,8896,27346
11073,15372,7225,8566
21676,20700,4316,2146
9808,31779,28073,24766
24678,698,780,12440
30753,1894,11589,23113
8040,22584,25237,28295
9910,4315,9458,25500
15895,18196,24311,28525
22384,16232,5086,23003
578,21325,27607,9739
23070,7889,10088,4117
26606,27797,30180,8229
28164,30629,10099,9793
27522,30361,22711,5828
10306,32341,7977,11732
3496,12478,7334,31279
3582,30777,2893,23733
22395,28997,2107,26924
4206,13691,3229,7966
26054,23987,4974,28414
29900,18880,475,20882
26856,18054,11922,30308
201,6561,28464,26587
6681,23360,598,8243
18757,1626,13390,11648
23802,29560,20266,16253
28333,11989,12332,7477
10579,7912,30209,22661
3953,17331,6008,179
10108,21306,29680,9842
9455,31742,10492,17945
14089,28528,17164,832
10960,6311,27426,24181
1308,15621,4830,28390
4991,12333,32191,13439
13227,7259,32670,23316
32136,17953,11813,543
32215,82,4036,20331
11483,30298,2650,15005
524,19185,20590,21186
23356,22697,20672,17182
9371,16396,1556,5895
22216,28378,23460,4596
25026,4470,27333,2818
28897,15254,2966,3247
26838,18723,27503,28175
32316,15792,2785,31779
10316,16388,10898,24595
31157,6899,1656,10670
15392,11287,8998,13458
7025,18600,24664,6770
15990,26589,10486,7590
32332,18384,9213,6207
