height of setup:,71
time,value of sensor0,value of sensor1,value of sensor2
1,822,1204,1247
2,807,1194,1239
3,794,1184,1229
4,779,1177,1221
5,766,1172,1213
6,757,1170,1208
7,749,1169,1207
8,750,1169,1206
9,753,1170,1205
10,752,1169,1204
11,745,1172,1206
12,737,1175,1211
13,731,1176,1226
14,731,1180,1252
15,757,1186,1286
16,799,1198,1332
17,830,1261,1389
18,837,1569,1451
19,860,2343,1505
20,1353,3276,1546
21,3635,3970,1563
23,8050,4419,1563
24,13705,4632,1548
25,17862,4668,1525
26,20199,4613,1500
27,21480,4547,1479
28,22160,4482,1459
29,22501,4452,1438
30,22604,4482,1416
31,22599,4619,1394
32,22575,4903,1375
33,22486,5208,1357
34,22353,5460,1350
35,22233,5741,1357
36,22175,6060,1379
37,22162,6382,1401
38,22156,6655,1416
39,22139,6933,1434
40,22088,7281,1460
41,21995,7517,1480
42,21856,7830,1508
43,21688,8197,1555
44,21593,8659,1607
46,21578,9148,1658
47,21590,9594,1705
48,21594,9948,1749
49,21570,10165,1794
50,21506,10255,1844
51,21394,10232,1889
52,21251,10169,1921
53,21087,10067,1936
54,20883,9919,1940
55,20605,9748,1938
56,20229,9585,1932
57,19772,9484,1932
58,19255,9433,1943
59,18679,9310,1947
60,18054,9063,1940
61,17383,8749,1927
62,16666,8430,1916
63,15923,8147,1919
64,15124,7884,1939
65,14343,7660,1966
66,13606,7439,1988
67,12887,7254,2006
68,12151,7073,2033
70,11413,6931,2059
71,10687,6799,2088
72,9983,6653,2117
73,9292,6488,2144
74,8614,6296,2165
75,7947,6095,2186
76,7333,5904,2206
77,6744,5723,2228
78,6229,5562,2252
79,5825,5403,2266
80,5531,5235,2273
81,5287,5056,2280
82,5058,4860,2292
83,4850,4674,2311
84,4664,4478,2339
85,4499,4279,2357
86,4333,4079,2350
87,4159,3885,2322
88,4001,3708,2274
89,3888,3540,2212
90,3807,3384,2145
91,3771,3238,2079
93,3737,3110,2015
94,3647,3005,1964
95,3520,2926,1920
96,3370,2866,1886
97,3238,2809,1858
98,3136,2756,1830
99,3068,2707,1803
100,3026,2659,1779
101,2987,2607,1752
102,2931,2554,1726
103,2859,2502,1706
104,2780,2450,1685
105,2702,2399,1662
106,2623,2351,1639
107,2553,2313,1619
108,2495,2287,1604
109,2453,2269,1593
110,2422,2253,1582
111,2381,2235,1574
112,2323,2213,1570
113,2267,2190,1566
114,2214,2168,1564
115,2160,2140,1553
117,2100,2107,1537
118,2036,2070,1516
119,1980,2037,1494
120,1940,2023,1465
121,1914,2027,1440
122,1888,2035,1416
123,1854,2031,1397
124,1811,2019,1381
125,1758,2013,1369
126,1701,2022,1365
127,1642,2033,1364
128,1591,2037,1362
129,1542,2040,1364
130,1499,2041,1368
131,1456,2044,1372
132,1440,2047,1374
133,1474,2040,1374
134,1529,2025,1370
135,1565,2007,1366
136,1572,1987,1361
137,1568,1963,1353
138,1555,1937,1343
139,1540,1903,1330
141,1522,1868,1321
142,1500,1833,1312
143,1474,1801,1302
144,1446,1772,1297
145,1419,1742,1290
146,1406,1718,1287
147,1394,1704,1283
148,1378,1696,1277
149,1354,1692,1271
150,1323,1689,1266
151,1288,1686,1263
152,1252,1683,1260
153,1218,1681,1256
154,1188,1677,1253
155,1164,1669,1249
156,1148,1661,1248
157,1135,1658,1247
158,1125,1659,1248
159,1137,1661,1249
160,1150,1662,1250
161,1151,1662,1248
162,1146,1660,1249
163,1137,1655,1252
165,1137,1648,1259
166,1147,1637,1264
167,1162,1624,1268
168,1168,1609,1271
169,1170,1592,1269
170,1183,1578,1266
171,1217,1564,1260
172,1269,1555,1256
173,1328,1549,1252
174,1372,1551,1252
175,1399,1552,1252
176,1410,1551,1252
177,1407,1549,1252
178,1413,1545,1253
179,1422,1541,1257
180,1409,1536,1263
181,1374,1531,1271
