height of setup:,71.41
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
4,920,1667,1657,1750
5,927,1683,1661,1726
6,924,1682,1649,1709
8,928,1678,1647,1777
9,933,1668,1672,3428
10,940,1661,2488,5329
11,946,1760,5944,7309
12,949,2919,9642,9533
13,973,3314,10627,11625
14,1031,3273,10030,12259
15,1032,3111,8979,12607
16,1018,2927,7899,13272
17,996,2883,11237,15715
18,973,3112,17057,19092
19,949,7937,20095,20947
20,943,16119,20651,22043
21,1007,20727,19620,22383
22,1269,22707,18006,21409
23,1531,23394,17245,20413
24,1651,23071,19495,19900
25,2002,22265,22075,19789
26,3511,20818,21929,21406
27,5578,20222,23408,21532
28,8816,21772,23651,20761
30,13198,22233,22889,19587
31,15315,22721,22676,18812
32,15437,23127,23436,19961
33,15957,22623,23046,20226
34,17119,23127,23579,20899
35,16735,23493,24317,22122
36,16161,23631,24561,22314
37,15871,24205,25164,22010
38,16447,25040,24952,21170
39,17890,25761,24729,20327
40,18246,26132,24104,19540
41,16975,25668,24065,18522
42,15316,25596,23062,17558
43,13509,25073,21930,16357
44,11965,24939,20468,15048
45,10610,24557,18705,13767
46,10038,23790,17118,12585
47,10202,22132,15123,11453
48,9746,20766,13562,10569
49,10283,20493,12444,9669
50,10540,19601,12538,10060
51,10036,18241,11827,10354
53,10023,17685,13798,11046
54,10214,17790,15967,11863
55,10556,18084,16933,11883
56,11166,17894,16293,11423
57,11816,16917,15111,10906
58,11948,15840,13999,10486
59,11820,14768,12984,10163
60,11758,13828,12149,9745
61,11512,13095,11433,9179
62,10614,12673,10859,8381
63,9497,12332,10226,7579
64,8379,11895,9295,6863
65,7498,11225,8396,6466
66,6954,10734,8090,6494
67,7408,10379,7855,6503
68,8315,10154,7348,6421
69,9078,9696,6772,6144
70,9152,8876,6204,5773
71,8666,8011,5709,5336
72,8221,7263,5250,4920
73,8415,6644,4866,4587
74,8870,6562,4625,4344
76,9127,8132,5804,5167
77,9066,9045,6819,5912
78,8802,9031,7049,6195
79,8205,8474,6807,6225
80,7794,7935,6418,5774
81,7733,7536,5894,5208
82,7171,7500,5428,4662
83,6649,7247,4963,4188
84,6161,7236,4865,3833
85,5622,7382,5286,3900
86,5753,7499,5887,4437
87,5574,7720,6690,5019
88,5660,8096,7214,5628
89,6146,9056,7658,6036
90,6869,9399,7557,6142
91,7299,9505,7342,5964
92,7493,9311,6946,5639
93,7388,8754,6482,5360
94,6884,7980,5999,4914
95,6170,7222,5373,4430
96,5435,6459,4752,3999
97,4725,5711,4242,3627
99,4108,5024,3843,3323
100,3616,4449,3453,3067
101,3429,4001,3102,2816
102,4009,3723,2977,2647
103,4027,3762,3246,2626
104,3943,3985,3692,2815
105,4327,4381,4196,3155
106,4819,5025,4526,3450
107,4810,6428,4897,3904
108,4809,7404,5581,4944
109,5229,7767,6540,5491
110,5677,8289,7121,5417
111,6142,8935,7387,5116
112,6613,9083,7271,4845
113,6852,8833,6963,4655
114,7110,8549,6661,4453
115,7475,8204,6253,4427
116,7327,7888,5678,4356
117,6728,7353,5140,4199
118,5981,6832,4804,3943
119,5194,6410,4492,3623
120,4492,6014,4152,3302
122,3909,5602,3882,3034
123,3474,5226,3699,2838
124,3108,4923,3566,2689
125,2991,4664,3617,2679
126,3073,4570,3751,2791
127,3143,4655,3845,2711
128,3260,4742,3730,2529
129,3360,4767,3608,2352
130,3403,4776,3560,2209
131,3412,4770,3469,2115
132,3416,4607,3211,2024
133,3420,4292,2916,1947
134,3291,3937,2675,1898
135,2977,3568,2502,1925
136,2661,3237,2332,1867
137,2490,2982,2288,1947
138,2335,2838,2447,2285
139,2717,2836,2692,2473
140,3479,3011,3020,2662
141,3973,3712,3485,2911
142,4146,4150,3766,3085
143,4087,4274,3777,3106
145,4039,4192,3651,2965
146,3844,3967,3387,2727
147,3467,3646,3067,2502
148,3114,3381,2784,2314
149,2964,3189,2568,2173
150,2763,3042,2479,2261
151,2541,2934,2604,2365
152,2435,2915,2634,2317
153,2511,2977,2551,2172
154,2548,2938,2385,2012
155,2582,2865,2230,1910
156,2581,2988,2160,2025
157,2432,3048,2529,2393
158,2282,3040,2830,2572
159,2229,3055,2886,2536
160,2193,3208,2860,2497
161,2272,3374,2797,2457
162,2382,3395,2792,2425
163,2260,3237,2780,2458
164,2116,3044,2656,2471
165,2043,2889,2533,2393
167,1992,2729,2378,2299
168,2061,2599,2261,2179
169,2176,2634,2203,2018
170,2286,2931,2343,1981
171,2283,3182,2788,2324
172,2243,3284,3037,2595
173,2129,3266,3135,2678
174,2173,3346,3253,2808
175,2241,3543,3499,3015
176,2207,3670,3639,3093
177,2215,3729,3639,3102
178,2093,3745,3654,3369
179,2112,3785,3590,3444
180,2221,3808,3488,3349
181,2423,3929,3511,3274
182,2599,3917,3437,3139
183,2850,3920,3327,2963
184,3141,4023,3248,2841
185,3202,4076,3118,2687
186,3131,3973,2936,2537
187,3108,3807,2829,2416
188,2885,3701,2706,2320
190,2655,3599,2649,2279
191,2420,3601,2629,2235
192,2363,3586,2702,2216
193,2467,3573,2984,2391
194,2399,3579,3151,2473
195,2364,3539,3263,2468
196,2381,3610,3450,2695
197,2424,3759,3683,2958
198,2475,3775,3647,3037
199,2638,3748,3535,2997
