time,ids,centers,rotation
11-06 15:27:52.25,(32),"(-64.2  , -93.625)",(3.3602616448303104)
11-06 15:27:52.36,(32),"(-65.5375, -92.2875)",(3.3336404901437455)
11-06 15:27:52.46,(32),"(-65.5375 , -91.61875)",(3.3545311653555845)
11-06 15:27:52.57,(32),"(-65.5375 , -90.28125)",(3.3336404901437455)
11-06 15:27:52.68,(32),"(-65.5375 , -88.94375)",(3.3545311653555845)
11-06 15:27:52.80,(32),"(-66.20625, -88.275  )",(3.3545311653555845)
11-06 15:27:52.92,(32),"(-66.875 , -86.9375)",(3.3545311653555845)
11-06 15:27:53.04,(32),"(-66.875, -85.6  )",(3.3602616448303104)
11-06 15:27:53.15,(32),"(-68.2125, -84.2625)",(3.3602616448303104)
11-06 15:27:53.25,(32),"(-68.2125, -84.2625)",(3.3545311653555845)
11-06 15:27:53.37,(32),"(-68.2125 , -83.59375)",(3.3602616448303104)
11-06 15:27:53.47,(32),"(-68.2125, -82.925 )",(3.3285720027818573)
11-06 15:27:53.58,(32),"(-68.88125, -81.5875 )",(3.3545311653555845)
11-06 15:27:53.70,(32),"(-69.55   , -80.91875)",(3.3545311653555845)
11-06 15:27:53.82,(32),"(-69.55   , -79.58125)",(3.3285720027818573)
11-06 15:27:53.93,(32),"(-69.55   , -78.24375)",(3.3285720027818573)
11-06 15:27:54.05,(32),"(-70.21875, -76.90625)",(3.3602616448303104)
11-06 15:27:54.16,(32),"(-70.21875, -75.56875)",(3.3545311653555845)
11-06 15:27:54.28,(32),"(-70.21875, -74.23125)",(3.3602616448303104)
11-06 15:27:54.39,(32),"(-70.8875, -73.5625)",(3.3602616448303104)
11-06 15:27:54.50,(32),"(-70.8875, -72.225 )",(3.3545311653555845)
11-06 15:27:54.61,(32),"(-70.8875 , -71.55625)",(3.3865713844761336)
11-06 15:27:54.73,(32),"(-71.55625, -70.21875)",(3.3545311653555845)
11-06 15:27:54.82,(32),"(-71.55625, -69.55   )",(3.3802020412756173)
11-06 15:27:54.94,(32),"(-72.225 , -68.2125)",(3.3602616448303104)
11-06 15:27:55.05,(32),"(-72.225, -66.875)",(3.3336404901437455)
11-06 15:27:55.16,(32),"(-72.89375, -66.20625)",(3.3545311653555845)
11-06 15:27:55.27,(32),"(-72.89375, -64.86875)",(3.3602616448303104)
11-06 15:27:55.39,(32),"(-72.89375, -64.86875)",(3.3545311653555845)
11-06 15:27:55.48,(32),"(-73.5625, -64.2   )",(3.3602616448303104)
11-06 15:27:55.59,(32),"(-74.23125, -62.8625 )",(3.3602616448303104)
11-06 15:27:55.70,(32),"(-74.23125, -61.525  )",(3.3602616448303104)
11-06 15:27:55.82,(32),"(-74.9    , -60.85625)",(3.3545311653555845)
11-06 15:27:55.93,(32),"(-74.9   , -60.1875)",(3.3545311653555845)
11-06 15:27:56.04,(32),"(-75.56875, -58.85   )",(3.3545311653555845)
11-06 15:27:56.16,(32),"(-75.56875, -57.5125 )",(3.3602616448303104)
