time,ids,centers,rotation
11-06 15:43:29.71,(32),"( -57.5125 , -100.98125)",(3.1955945999975475)
11-06 15:43:29.82,(32),"(-58.18125, -99.64375)",(3.1941768766454213)
11-06 15:43:29.93,(32),"(-58.18125, -98.975  )",(3.1955945999975475)
11-06 15:43:30.04,(32),"(-58.18125, -97.6375 )",(3.1955945999975475)
11-06 15:43:30.15,(32),"(-58.18125, -96.3    )",(3.2203762888907086)
11-06 15:43:30.26,(32),"(-58.85  , -94.9625)",(3.1941768766454213)
11-06 15:43:30.37,(32),"(-58.85 , -93.625)",(3.1941768766454213)
11-06 15:43:30.48,(32),"(-58.18125, -92.2875 )",(3.1941768766454213)
11-06 15:43:30.59,(32),"(-58.85, -90.95)",(3.1955945999975475)
11-06 15:43:30.71,(32),"(-58.85   , -90.28125)",(3.1686126851673384)
11-06 15:43:30.83,(32),"(-58.85   , -88.94375)",(3.1955945999975475)
11-06 15:43:30.92,(32),"(-58.85   , -87.60625)",(3.1955945999975475)
11-06 15:43:31.04,(32),"(-58.85   , -86.26875)",(3.1955945999975475)
11-06 15:43:31.15,(32),"(-59.51875, -84.93125)",(3.1686126851673384)
11-06 15:43:31.27,(32),"(-58.85  , -84.2625)",(3.1955945999975475)
11-06 15:43:31.39,(32),"(-59.51875, -83.59375)",(3.1955945999975475)
11-06 15:43:31.50,(32),"(-58.85 , -82.925)",(3.1955945999975475)
11-06 15:43:31.62,(32),"(-58.85  , -81.5875)",(3.1941768766454213)
11-06 15:43:31.74,(32),"(-59.51875, -80.25   )",(3.197090098432052)
11-06 15:43:31.85,(32),"(-59.51875, -78.24375)",(3.1955945999975475)
11-06 15:43:31.97,(32),"(-59.51875, -77.575  )",(3.1679040253155044)
11-06 15:43:32.09,(32),"(-59.51875, -75.56875)",(3.2224964088268746)
11-06 15:43:32.21,(32),"(-59.51875, -74.23125)",(3.1941768766454213)
11-06 15:43:32.32,(32),"(-58.85  , -73.5625)",(3.1941768766454213)
11-06 15:43:32.44,(32),"(-58.85 , -72.225)",(3.1941768766454213)
11-06 15:43:32.56,(32),"(-59.51875, -70.8875 )",(3.1686126851673384)
11-06 15:43:32.67,(32),"(-59.51875, -69.55   )",(3.1679040253155044)
11-06 15:43:32.79,(32),"(-59.51875, -67.54375)",(3.1941768766454213)
11-06 15:43:32.91,(32),"(-59.51875, -66.875  )",(3.1686126851673384)
11-06 15:43:33.03,(32),"(-59.51875, -65.5375 )",(3.1686126851673384)
11-06 15:43:33.12,(32),"(-59.51875, -64.86875)",(3.1679040253155044)
