time,ids,centers,rotation
11-06 17:10:07.81,(32),"( -59.51875, -104.325  )",(3.141592653589793)
11-06 17:10:07.92,(32),"( -59.51875, -103.65625)",(3.1941768766454213)
11-06 17:10:08.04,(32),"( -60.1875 , -102.31875)",(3.1679040253155044)
11-06 17:10:08.14,(32),"( -60.1875 , -100.98125)",(3.141592653589793)
11-06 17:10:08.24,(32),"(-60.1875 , -99.64375)",(3.141592653589793)
11-06 17:10:08.36,(32),"(-60.1875, -98.975 )",(3.1679040253155044)
11-06 17:10:08.47,(32),"(-60.1875 , -96.96875)",(3.141592653589793)
11-06 17:10:08.58,(32),"(-60.1875 , -96.96875)",(3.141592653589793)
11-06 17:10:08.69,(32),"(-60.1875 , -95.63125)",(3.141592653589793)
11-06 17:10:08.80,(32),"(-60.1875, -94.9625)",(3.1679040253155044)
11-06 17:10:08.90,(32),"(-60.1875 , -94.29375)",(3.1679040253155044)
11-06 17:10:09.03,(32),"(-60.1875, -92.2875)",(3.141592653589793)
11-06 17:10:09.12,(32),"(-60.1875 , -91.61875)",(3.1686126851673384)
11-06 17:10:09.24,(32),"(-60.1875 , -90.28125)",(3.1686126851673384)
11-06 17:10:09.35,(32),"(-60.1875, -89.6125)",(3.141592653589793)
11-06 17:10:09.46,(32),"(-60.1875, -88.275 )",(3.1679040253155044)
11-06 17:10:09.57,(32),"(-60.1875, -86.9375)",(3.141592653589793)
11-06 17:10:09.69,(32),"(-60.1875, -86.9375)",(3.1679040253155044)
11-06 17:10:09.80,(32),"(-60.1875 , -86.26875)",(3.115281281864082)
11-06 17:10:09.90,(32),"(-60.1875, -84.2625)",(3.141592653589793)
11-06 17:10:10.02,(32),"(-60.1875, -82.925 )",(3.141592653589793)
11-06 17:10:10.13,(32),"(-60.85625, -81.5875 )",(3.141592653589793)
11-06 17:10:10.24,(32),"(-60.1875, -80.25  )",(3.141592653589793)
11-06 17:10:10.35,(32),"(-60.1875, -78.9125)",(3.141592653589793)
11-06 17:10:10.47,(32),"(-60.1875, -77.575 )",(3.141592653589793)
11-06 17:10:10.58,(32),"(-60.1875 , -76.90625)",(3.1679040253155044)
11-06 17:10:10.69,(32),"(-60.1875 , -76.90625)",(3.141592653589793)
11-06 17:10:10.80,(32),"(-60.1875 , -75.56875)",(3.114572622012248)
11-06 17:10:10.92,(32),"(-60.1875 , -74.23125)",(3.1679040253155044)
11-06 17:10:11.03,(32),"(-60.1875 , -72.89375)",(3.115281281864082)
11-06 17:10:11.14,(32),"(-60.1875 , -71.55625)",(3.141592653589793)
11-06 17:10:11.25,(32),"(-60.1875, -70.8875)",(3.141592653589793)
11-06 17:10:11.35,(32),"(-60.1875 , -70.21875)",(3.115281281864082)
11-06 17:10:11.46,(32),"(-60.1875, -68.2125)",(3.141592653589793)
11-06 17:10:11.58,(32),"(-60.1875, -66.875 )",(3.1679040253155044)
11-06 17:10:11.69,(32),"(-60.1875 , -66.20625)",(3.141592653589793)
11-06 17:10:11.80,(32),"(-60.85625, -65.5375 )",(3.115281281864082)
11-06 17:10:11.91,(32),"(-61.525  , -63.53125)",(3.113821905361821)
11-06 17:10:12.01,(32),"(-61.525 , -62.8625)",(3.115281281864082)
11-06 17:10:12.12,(32),"(-61.525  , -62.19375)",(3.115281281864082)
11-06 17:10:12.24,(32),"(-61.525  , -60.85625)",(3.114572622012248)
11-06 17:10:12.35,(32),"(-61.525  , -59.51875)",(3.114572622012248)
11-06 17:10:12.46,(32),"(-61.525  , -58.18125)",(3.114572622012248)
11-06 17:10:12.58,(32),"(-61.525  , -56.84375)",(3.141592653589793)
11-06 17:10:12.69,(32),"(-61.525  , -55.50625)",(3.141592653589793)
11-06 17:10:12.81,(32),"(-61.525  , -55.50625)",(3.115281281864082)
11-06 17:10:12.92,(32),"(-61.525, -53.5  )",(3.114572622012248)
11-06 17:10:13.03,(32),"(-61.525  , -52.83125)",(3.115281281864082)
11-06 17:10:13.14,(32),"(-60.85625, -51.49375)",(3.141592653589793)
11-06 17:10:13.25,(32),"(-60.85625, -50.15625)",(3.141592653589793)
11-06 17:10:13.37,(32),"(-60.85625, -49.4875 )",(3.115281281864082)
11-06 17:10:13.48,(32),"(-60.85625, -48.15   )",(3.141592653589793)
11-06 17:10:13.59,(32),"(-60.85625, -46.8125 )",(3.141592653589793)
11-06 17:10:13.71,(32),"(-60.85625, -45.475  )",(3.141592653589793)
11-06 17:10:13.81,(32),"(-60.85625, -44.80625)",(3.1679040253155044)
11-06 17:10:13.92,(32),"(-60.85625, -44.1375 )",(3.141592653589793)
11-06 17:10:14.03,(32),"(-60.85625, -42.8    )",(3.114572622012248)
11-06 17:10:14.14,(32),"(-60.85625, -41.4625 )",(3.114572622012248)
11-06 17:10:14.24,(32),"(-60.85625, -40.125  )",(3.114572622012248)
11-06 17:10:14.35,(32),"(-60.85625, -39.45625)",(3.115281281864082)
11-06 17:10:14.47,(32),"(-60.85625, -38.11875)",(3.141592653589793)
11-06 17:10:14.59,(32),"(-60.85625, -36.78125)",(3.141592653589793)
11-06 17:10:14.70,(32),"(-60.85625, -35.44375)",(3.114572622012248)
11-06 17:10:14.81,(32),"(-60.85625, -34.775  )",(3.115281281864082)
11-06 17:10:14.93,(32),"(-60.85625, -34.775  )",(3.141592653589793)
11-06 17:10:15.05,(32),"(-60.85625, -33.4375 )",(3.115281281864082)
11-06 17:10:15.16,(32),"(-60.85625, -32.1    )",(3.115281281864082)
11-06 17:10:15.27,(32),"(-60.85625, -30.7625 )",(3.114572622012248)
11-06 17:10:15.37,(32),"(-60.85625, -30.09375)",(3.115281281864082)
11-06 17:10:15.49,(32),"(-60.85625, -28.75625)",(3.115281281864082)
11-06 17:10:15.60,(32),"(-60.85625, -26.75   )",(3.0875907071820388)
11-06 17:10:15.71,(32),"(-60.85625, -25.4125 )",(3.0875907071820388)
11-06 17:10:15.81,(32),"(-60.85625, -24.74375)",(3.113821905361821)
11-06 17:10:15.92,(32),"(-60.85625, -24.075  )",(3.114572622012248)
11-06 17:10:16.03,(32),"(-60.85625, -23.40625)",(3.114572622012248)
