time,ids,centers,rotation
11-06 15:48:30.07,(32),"(129.7375, -92.2875)",(3.812114192154428)
11-06 15:48:30.18,(32),"(129.7375 , -91.61875)",(3.795675411544086)
11-06 15:48:30.30,(32),"(128.4    , -90.28125)",(3.812114192154428)
11-06 15:48:30.40,(32),"(127.73125, -89.6125 )",(3.812114192154428)
11-06 15:48:30.51,(32),"(127.0625 , -88.94375)",(3.795675411544086)
11-06 15:48:30.63,(32),"(126.39375, -87.60625)",(3.832929482391353)
11-06 15:48:30.73,(32),"(126.39375, -86.9375 )",(3.812114192154428)
11-06 15:48:30.84,(32),"(125.725 , -86.9375)",(3.812114192154428)
11-06 15:48:30.95,(32),"(125.05625, -84.93125)",(3.774341569119658)
11-06 15:48:31.06,(32),"(124.3875 , -84.93125)",(3.795675411544086)
11-06 15:48:31.18,(32),"(123.71875, -83.59375)",(3.7905882655693417)
11-06 15:48:31.28,(32),"(123.05 , -82.925)",(3.816333661046794)
11-06 15:48:31.40,(32),"(121.7125 , -82.25625)",(3.795675411544086)
11-06 15:48:31.49,(32),"(121.04375, -80.91875)",(3.774341569119658)
11-06 15:48:31.60,(32),"(119.70625, -79.58125)",(3.812114192154428)
11-06 15:48:31.72,(32),"(119.0375, -78.9125)",(3.812114192154428)
11-06 15:48:31.83,(32),"(118.36875, -77.575  )",(3.812114192154428)
11-06 15:48:31.94,(32),"(117.7    , -76.90625)",(3.812114192154428)
11-06 15:48:32.05,(32),"(117.03125, -76.2375 )",(3.812114192154428)
11-06 15:48:32.15,(32),"(117.03125, -75.56875)",(3.812114192154428)
11-06 15:48:32.26,(32),"(116.3625, -74.9   )",(3.795675411544086)
11-06 15:48:32.38,(32),"(115.025 , -73.5625)",(3.795675411544086)
11-06 15:48:32.49,(32),"(114.35625, -72.225  )",(3.7905882655693417)
11-06 15:48:32.60,(32),"(113.6875 , -71.55625)",(3.795675411544086)
11-06 15:48:32.72,(32),"(113.01875, -70.8875 )",(3.795675411544086)
11-06 15:48:32.82,(32),"(113.01875, -70.8875 )",(3.795675411544086)
11-06 15:48:32.93,(32),"(112.35   , -70.21875)",(3.795675411544086)
11-06 15:48:33.05,(32),"(111.68125, -68.88125)",(3.812114192154428)
11-06 15:48:33.16,(32),"(111.0125, -68.2125)",(3.812114192154428)
11-06 15:48:33.27,(32),"(110.34375, -66.875  )",(3.812114192154428)
11-06 15:48:33.37,(32),"(109.675  , -66.20625)",(3.795675411544086)
11-06 15:48:33.48,(32),"(109.00625, -65.5375 )",(3.795675411544086)
11-06 15:48:33.60,(32),"(108.3375, -64.2   )",(3.812114192154428)
11-06 15:48:33.71,(32),"(107.66875, -63.53125)",(3.774341569119658)
11-06 15:48:33.82,(32),"(106.33125, -62.19375)",(3.812114192154428)
11-06 15:48:33.94,(32),"(106.33125, -61.525  )",(3.774341569119658)
11-06 15:48:34.05,(32),"(104.99375, -60.1875 )",(3.812114192154428)
11-06 15:48:34.16,(32),"(104.325, -58.85 )",(3.774341569119658)
11-06 15:48:34.26,(32),"(103.65625, -58.18125)",(3.795675411544086)
11-06 15:48:34.37,(32),"(103.65625, -57.5125 )",(3.795675411544086)
11-06 15:48:34.48,(32),"(102.9875 , -56.84375)",(3.795675411544086)
11-06 15:48:34.60,(32),"(101.65   , -55.50625)",(3.812114192154428)
11-06 15:48:34.71,(32),"(101.65  , -54.8375)",(3.795675411544086)
11-06 15:48:34.82,(32),"(101.65  , -54.8375)",(3.795675411544086)
11-06 15:48:34.93,(32),"(100.98125, -54.16875)",(3.795675411544086)
11-06 15:48:35.04,(32),"( 99.64375, -52.83125)",(3.7587840983514296)
11-06 15:48:35.15,(32),"( 98.30625, -51.49375)",(3.774341569119658)
11-06 15:48:35.27,(32),"( 97.6375 , -50.15625)",(3.774341569119658)
11-06 15:48:35.38,(32),"( 96.96875, -49.4875 )",(3.779912470487073)
11-06 15:48:35.49,(32),"( 96.96875, -48.81875)",(3.812114192154428)
11-06 15:48:35.60,(32),"( 95.63125, -47.48125)",(3.795675411544086)
11-06 15:48:35.72,(32),"( 94.9625, -46.8125)",(3.774341569119658)
11-06 15:48:35.83,(32),"( 94.29375, -46.14375)",(3.795675411544086)
11-06 15:48:35.94,(32),"( 93.625  , -44.80625)",(3.774341569119658)
